COUNTY STATE 1990TP 1990NHP 1990HP 1990HSP 2000TP 2000NHP 2000HP 2000HSP 2010TP 2010NHP 2010HP 2010HSP 2011TP 2011NHP 2011HP 2011HSP
MaconCounty Alabama 24928 24825 103 0,41 24105 23932 173 0,72 21452 21220 232 1,08 21182 20809 373 1,76
MadisonCounty Alabama 238912 235928 2984 1,25 276700 271474 5226 1,89 334811 319407 15404 4,60 340111 324186 15925 4,68
MarengoCounty Alabama 23084 23009 75 0,32 22539 22320 219 0,97 21027 20675 352 1,67 20692 20335 357 1,73
MarionCounty Alabama 29830 29765 65 0,22 31214 30854 360 1,15 30776 30144 632 2,05 30663 29979 684 2,23
MarshallCounty Alabama 70832 70543 289 0,41 82231 77575 4656 5,66 93019 81781 11238 12,08 94166 82391 11775 12,50
MobileCounty Alabama 378643 375479 3164 0,84 399843 394956 4887 1,22 412992 403056 9936 2,41 412577 402127 10450 2,53
MonroeCounty Alabama 23968 23874 94 0,39 24324 24134 190 0,78 23068 22848 220 0,95 22760 22515 245 1,08
MontgomeryCounty Alabama 209085 207461 1624 0,78 223510 220845 2665 1,19 229363 221049 8314 3,62 232032 223605 8427 3,63
MorganCounty Alabama 100043 99459 584 0,58 111064 107419 3645 3,28 119490 110334 9156 7,66 119953 110619 9334 7,78
PerryCounty Alabama 12759 12723 36 0,28 11861 11759 102 0,86 10591 10477 114 1,08 10373 10240 133 1,28
PickensCounty Alabama 20699 20649 50 0,24 20949 20802 147 0,70 19746 19433 313 1,59 19349 19013 336 1,74
PikeCounty Alabama 27595 27487 108 0,39 29605 29240 365 1,23 32899 32169 730 2,22 32915 32136 779 2,37
RandolphCounty Alabama 19881 19828 53 0,27 22380 22108 272 1,22 22913 22264 649 2,83 22787 22124 663 2,91
RussellCounty Alabama 46860 46559 301 0,64 49756 49012 744 1,50 52947 51001 1946 3,68 54572 52330 2242 4,11
"St ClairCounty" Alabama 50009 49800 209 0,42 64742 64056 686 1,06 83593 81877 1716 2,05 84398 82529 1869 2,21
ShelbyCounty Alabama 99358 98833 525 0,53 143293 140383 2910 2,03 195085 183518 11567 5,93 197936 186151 11785 5,95
SumterCounty Alabama 16174 16096 78 0,48 14798 14633 165 1,12 13763 13677 86 0,62 13478 13360 118 0,88
TalladegaCounty Alabama 74107 73617 490 0,66 80321 79509 812 1,01 82291 80620 1671 2,03 81664 79914 1750 2,14
TallapoosaCounty Alabama 38826 38755 71 0,18 41475 41233 242 0,58 41616 40574 1042 2,50 41623 40514 1109 2,66
TuscaloosaCounty Alabama 150522 149574 948 0,63 164875 162745 2130 1,29 194656 188707 5949 3,06 197211 191006 6205 3,15
WalkerCounty Alabama 67670 67446 224 0,33 70713 70106 607 0,86 67023 65716 1307 1,95 66661 65280 1381 2,07
WashingtonCounty Alabama 16694 16643 51 0,31 18097 17937 160 0,88 17581 17430 151 0,86 17344 17169 175 1,01
WilcoxCounty Alabama 13568 13528 40 0,29 13183 13086 97 0,74 11670 11598 72 0,62 11482 11398 84 0,73
WinstonCounty Alabama 22053 21994 59 0,27 24843 24471 372 1,50 24484 23845 639 2,61 24327 23653 674 2,77
AleutiansEastBorough Alaska 2464 2284 180 7,31 2697 2358 339 12,57 3141 2756 385 12,26 3172 2766 406 12,80
AleutiansWestCensusArea Alaska 9478 8736 742 7,83 5465 4892 573 10,48 5561 4835 726 13,06 5504 4735 769 13,97
AnchorageMunicipality Alaska 226338 217080 9258 4,09 260283 245484 14799 5,69 291826 269765 22061 7,56 295570 272295 23275 7,87
BethelCensusArea Alaska 13656 13576 80 0,59 16006 15866 140 0,87 17013 16832 181 1,06 17416 17179 237 1,36
BristolBayBorough Alaska 1410 1377 33 2,34 1258 1251 7 0,56 997 973 24 2,41 1030 1001 29 2,82
DenaliBorough Alaska 0 0 0 0,00 1893 1846 47 2,48 1826 1784 42 2,30 1855 1806 49 2,64
DillinghamCensusArea Alaska 4012 3963 49 1,22 4922 4811 111 2,26 4847 4746 101 2,08 4975 4859 116 2,33
FairbanksNorthStarBorough Alaska 77720 74821 2899 3,73 82840 79400 3440 4,15 97581 91930 5651 5,79 99192 92980 6212 6,26
HainesBorough Alaska 2117 2090 27 1,28 2392 2359 33 1,38 2508 2461 47 1,87 2554 2495 59 2,31
Hoonah-AngoonCensusArea Alaska 0 0 0 0,00 0 0 0 0 2150 2073 77 3,58 2112 2032 80 3,79
JuneauCityandBorough Alaska 26751 26002 749 2,80 30711 29671 1040 3,39 31275 29687 1588 5,08 32164 30437 1727 5,37
KenaiPeninsulaBorough Alaska 40802 40076 726 1,78 49691 48604 1087 2,19 55400 53759 1641 2,96 56293 54516 1777 3,16
KetchikanGatewayBorough Alaska 13828 13543 285 2,06 14070 13698 372 2,64 13477 12939 538 3,99 13593 13015 578 4,25
KodiakIslandBorough Alaska 13309 12646 663 4,98 13913 13065 848 6,10 13592 12596 996 7,33 13872 12773 1099 7,92
LakeandPeninsulaBorough Alaska 1668 1636 32 1,92 1823 1802 21 1,15 1631 1588 43 2,64 1668 1613 55 3,30
Matanuska-SusitnaBorough Alaska 39683 38931 752 1,90 59322 57837 1485 2,50 88995 85694 3301 3,71 91946 88402 3544 3,85
NomeCensusArea Alaska 8288 8182 106 1,28 9196 9104 92 1,00 9492 9377 115 1,21 9856 9703 153 1,55
NorthSlopeBorough Alaska 5979 5855 124 2,07 7385 7210 175 2,37 9430 9181 249 2,64 9503 9219 284 2,99
NorthwestArcticBorough Alaska 6113 6077 36 0,59 7208 7151 57 0,79 7523 7465 58 0,77 7733 7651 82 1,06
PetersburgCensusArea Alaska 0 0 0 0,00 0 0 0 0 3815 3685 130 3,41 3838 3688 150 3,91
PrinceofWales-HyderCensusArea Alaska 6278 6157 121 1,93 6146 6039 107 1,74 5559 5432 127 2,28 5737 5576 161 2,81
SitkaCityandBorough Alaska 8588 8379 209 2,43 8835 8545 290 3,28 8881 8444 437 4,92 8952 8501 451 5,04
SkagwayMunicipality Alaska 0 0 0 0,00 0 0 0 0 968 947 21 2,17 935 909 26 2,78
SoutheastFairbanksCensusArea Alaska 5913 5736 177 2,99 6174 6007 167 2,70 7029 6795 234 3,33 7132 6871 261 3,66
Valdez-CordovaCensusArea Alaska 9952 9682 270 2,71 10195 9909 286 2,81 9636 9287 349 3,62 9770 9393 377 3,86
WadeHamptonCensusArea Alaska 5791 5774 17 0,29 7028 7005 23 0,33 7459 7452 7 0,09 7662 7644 18 0,23
WrangellCityandBorough Alaska 0 0 0 0,00 0 0 0 0 2369 2332 37 1,56 2382 2341 41 1,72
YakutatCityandBorough Alaska 0 0 0 0,00 808 802 6 0,74 662 645 17 2,57 646 628 18 2,79
Yukon-KoyukukCensusArea Alaska 8478 8396 82 0,97 6551 6473 78 1,19 5588 5522 66 1,18 5656 5577 79 1,40
ApacheCounty Arizona 61591 58992 2599 4,22 69423 66304 3119 4,49 71518 67405 4113 5,75 72401 67507 4894 6,76
