COUNTY;STATE;TP;TPNH;TPH;PPH;AP
Dickinson;Iowa;14909;14857;52;0,35;1990
Dubuque;Iowa;86403;85966;437;0,51;1990
Emmet;Iowa;11569;11506;63;0,55;1990
Fayette;Iowa;21843;21648;195;0,89;1990
Floyd;Iowa;17058;16966;92;0,54;1990
Franklin;Iowa;11364;11212;152;1,34;1990
Fremont;Iowa;8226;8173;53;0,64;1990
Greene;Iowa;10045;10015;30;0,30;1990
Grundy;Iowa;12029;11995;34;0,28;1990
Guthrie;Iowa;10935;10900;35;0,32;1990
Hamilton;Iowa;16071;15955;116;0,72;1990
Hancock;Iowa;12638;12509;129;1,02;1990
Hardin;Iowa;19094;18988;106;0,56;1990
Harrison;Iowa;14730;14680;50;0,34;1990
Henry;Iowa;19226;19099;127;0,66;1990
Howard;Iowa;9809;9785;24;0,25;1990
Humboldt;Iowa;10756;10719;37;0,34;1990
Ida;Iowa;8365;8342;23;0,28;1990
Iowa;Iowa;14630;14591;39;0,27;1990
Jackson;Iowa;19950;19854;96;0,48;1990
Jasper;Iowa;34795;34601;194;0,56;1990
Jefferson;Iowa;16310;16169;141;0,87;1990
Johnson;Iowa;96119;94684;1435;1,49;1990
Jones;Iowa;19444;19349;95;0,49;1990
Keokuk;Iowa;11624;11605;19;0,16;1990
Kossuth;Iowa;18591;18497;94;0,51;1990
Lee;Iowa;38687;37955;732;1,89;1990
Linn;Iowa;168767;167176;1591;0,94;1990
Louisa;Iowa;11592;11167;425;3,67;1990
Lucas;Iowa;9070;9017;53;0,58;1990
Lyon;Iowa;11952;11941;11;0,09;1990
Madison;Iowa;12483;12416;67;0,54;1990
Mahaska;Iowa;21522;21430;92;0,43;1990
Marion;Iowa;30001;29839;162;0,54;1990
Marshall;Iowa;38276;37984;292;0,76;1990
Mills;Iowa;13202;13130;72;0,55;1990
Mitchell;Iowa;10928;10883;45;0,41;1990
Monona;Iowa;10034;10004;30;0,30;1990
Monroe;Iowa;8114;8096;18;0,22;1990
Montgomery;Iowa;12076;12024;52;0,43;1990
Muscatine;Iowa;39907;37007;2900;7,27;1990
O'Brien;Iowa;15444;15405;39;0,25;1990
Osceola;Iowa;7267;7251;16;0,22;1990
Page;Iowa;16870;16673;197;1,17;1990
Palo Alto;Iowa;10669;10645;24;0,23;1990
Plymouth;Iowa;23388;23330;58;0,25;1990
Pocahontas;Iowa;9525;9493;32;0,34;1990
Polk;Iowa;327140;320979;6161;1,88;1990
Pottawattamie;Iowa;82628;81112;1516;1,84;1990
Poweshiek;Iowa;19033;18965;68;0,36;1990
Ringgold;Iowa;5420;5404;16;0,30;1990
Sac;Iowa;12324;12280;44;0,36;1990
Scott;Iowa;150979;146726;4253;2,82;1990
Shelby;Iowa;13230;13186;44;0,33;1990
Sioux;Iowa;29903;29837;66;0,22;1990
Story;Iowa;74252;73412;840;1,13;1990
Tama;Iowa;17419;17291;128;0,74;1990
Taylor;Iowa;7114;7068;46;0,65;1990
Union;Iowa;12750;12708;42;0,33;1990
Van Buren;Iowa;7676;7647;29;0,38;1990
Wapello;Iowa;35687;35463;224;0,63;1990
Warren;Iowa;36033;35756;277;0,77;1990
Washington;Iowa;19612;19416;196;1,00;1990
Wayne;Iowa;7067;7038;29;0,41;1990
Webster;Iowa;40342;39852;490;1,22;1990
Winnebago;Iowa;12122;12025;97;0,80;1990
Winneshiek;Iowa;20847;20786;61;0,29;1990
Woodbury;Iowa;98276;95564;2712;2,76;1990
Worth;Iowa;7991;7900;91;1,14;1990
Wright;Iowa;14269;14177;92;0,65;1990
Allen;Kansas;14638;14380;258;1,76;1990
Anderson;Kansas;7803;7752;51;0,65;1990
Atchison;Kansas;16932;16562;370;2,19;1990
Barber;Kansas;5874;5801;73;1,24;1990
Barton;Kansas;29382;28566;816;2,78;1990
Bourbon;Kansas;14966;14887;79;0,53;1990
Brown;Kansas;11128;10936;192;1,73;1990
Butler;Kansas;50580;49838;742;1,47;1990
Chase;Kansas;3021;2981;40;1,32;1990
Chautauqua;Kansas;4407;4363;44;1,00;1990
Cherokee;Kansas;21374;21199;175;0,82;1990
Cheyenne;Kansas;3243;3223;20;0,62;1990
Clark;Kansas;2418;2376;42;1,74;1990
Clay;Kansas;9158;9120;38;0,42;1990
Cloud;Kansas;11023;10947;76;0,69;1990
Coffey;Kansas;8404;8343;61;0,73;1990
Comanche;Kansas;2313;2300;13;0,56;1990
Cowley;Kansas;36915;35818;1097;2,97;1990
Crawford;Kansas;35568;35243;325;0,91;1990
Decatur;Kansas;4021;4008;13;0,32;1990
Dickinson;Kansas;18958;18617;341;1,80;1990
Doniphan;Kansas;8134;8086;48;0,59;1990
Douglas;Kansas;81798;79660;2138;2,61;1990
Edwards;Kansas;3787;3590;197;5,20;1990
Elk;Kansas;3327;3268;59;1,77;1990
Ellis;Kansas;26004;25799;205;0,79;1990
Ellsworth;Kansas;6586;6400;186;2,82;1990
Finney;Kansas;33070;24717;8353;25,26;1990
Ford;Kansas;27463;23380;4083;14,87;1990
Franklin;Kansas;21994;21523;471;2,14;1990
Geary;Kansas;30453;28600;1853;6,09;1990
Gove;Kansas;3231;3222;9;0,28;1990
Graham;Kansas;3543;3520;23;0,65;1990
Grant;Kansas;7159;5616;1543;21,55;1990
Gray;Kansas;5396;5167;229;4,24;1990
Greeley;Kansas;1774;1667;107;6,03;1990
Greenwood;Kansas;7847;7756;91;1,16;1990
Hamilton;Kansas;2388;2249;139;5,82;1990
Harper;Kansas;7124;7019;105;1,47;1990
Harvey;Kansas;31028;29412;1616;5,21;1990
Haskell;Kansas;3886;3329;557;14,33;1990
Hodgeman;Kansas;2177;2145;32;1,47;1990
Jackson;Kansas;11525;11399;126;1,09;1990
Jefferson;Kansas;15905;15773;132;0,83;1990
Jewell;Kansas;4251;4243;8;0,19;1990
Johnson;Kansas;355054;348049;7005;1,97;1990
Kearny;Kansas;4027;3356;671;16,66;1990
Kingman;Kansas;8292;8215;77;0,93;1990
Kiowa;Kansas;3660;3621;39;1,07;1990
Labette;Kansas;23693;23177;516;2,18;1990
Lane;Kansas;2375;2331;44;1,85;1990
Leavenworth;Kansas;64371;62179;2192;3,41;1990
Lincoln;Kansas;3653;3638;15;0,41;1990
Linn;Kansas;8254;8220;34;0,41;1990
Logan;Kansas;3081;3055;26;0,84;1990
Lyon;Kansas;34732;32618;2114;6,09;1990
McPherson;Kansas;27268;26943;325;1,19;1990
Marion;Kansas;12888;12770;118;0,92;1990
Marshall;Kansas;11705;11656;49;0,42;1990
Meade;Kansas;4247;4049;198;4,66;1990
Miami;Kansas;23466;23190;276;1,18;1990
Mitchell;Kansas;7203;7174;29;0,40;1990
Montgomery;Kansas;38816;38065;751;1,94;1990
Morris;Kansas;6198;6108;90;1,45;1990
Morton;Kansas;3480;3128;352;10,12;1990
Nemaha;Kansas;10446;10432;14;0,13;1990
Neosho;Kansas;17035;16674;361;2,12;1990
Ness;Kansas;4033;4010;23;0,57;1990
Norton;Kansas;5947;5865;82;1,38;1990
Osage;Kansas;15248;15061;187;1,23;1990
Osborne;Kansas;4867;4850;17;0,35;1990
Ottawa;Kansas;5634;5600;34;0,60;1990
Pawnee;Kansas;7555;7299;256;3,39;1990
Phillips;Kansas;6590;6558;32;0,49;1990
Pottawatomie;Kansas;16128;15889;239;1,48;1990
Pratt;Kansas;9702;9519;183;1,89;1990
Rawlins;Kansas;3404;3377;27;0,79;1990
Reno;Kansas;62389;59911;2478;3,97;1990
Republic;Kansas;6482;6467;15;0,23;1990
Rice;Kansas;10610;10331;279;2,63;1990
Riley;Kansas;67139;64340;2799;4,17;1990
Rooks;Kansas;6039;6014;25;0,41;1990
Rush;Kansas;3842;3807;35;0,91;1990
Russell;Kansas;7835;7790;45;0,57;1990
Saline;Kansas;49301;48079;1222;2,48;1990
Scott;Kansas;5289;5151;138;2,61;1990
Sedgwick;Kansas;403662;386227;17435;4,32;1990
Seward;Kansas;18743;15083;3660;19,53;1990
Shawnee;Kansas;160976;153191;7785;4,84;1990
Sheridan;Kansas;3043;3017;26;0,85;1990
Sherman;Kansas;6926;6452;474;6,84;1990
Smith;Kansas;5078;5071;7;0,14;1990
Stafford;Kansas;5365;5253;112;2,09;1990
Stanton;Kansas;2333;1941;392;16,80;1990
Stevens;Kansas;5048;4496;552;10,94;1990
Sumner;Kansas;25841;24953;888;3,44;1990
Thomas;Kansas;8258;8157;101;1,22;1990
Trego;Kansas;3694;3685;9;0,24;1990
Wabaunsee;Kansas;6603;6487;116;1,76;1990
Wallace;Kansas;1821;1742;79;4,34;1990
Washington;Kansas;7073;7051;22;0,31;1990
Wichita;Kansas;2758;2432;326;11,82;1990
Wilson;Kansas;10289;10213;76;0,74;1990
Woodson;Kansas;4116;4091;25;0,61;1990
Wyandotte;Kansas;161993;150996;10997;6,79;1990
Adair;Kentucky;15360;15271;89;0,58;1990
Allen;Kentucky;14628;14604;24;0,16;1990
Anderson;Kentucky;14571;14503;68;0,47;1990
Ballard;Kentucky;7902;7861;41;0,52;1990
Barren;Kentucky;34001;33907;94;0,28;1990
Bath;Kentucky;9692;9661;31;0,32;1990
Bell;Kentucky;31506;31429;77;0,24;1990
Boone;Kentucky;57589;57271;318;0,55;1990
Bourbon;Kentucky;19236;19155;81;0,42;1990
Boyd;Kentucky;51150;50707;443;0,87;1990
Boyle;Kentucky;25641;25533;108;0,42;1990
Bracken;Kentucky;7766;7754;12;0,16;1990
Breathitt;Kentucky;15703;15677;26;0,17;1990
Breckinridge;Kentucky;16312;16268;44;0,27;1990
Bullitt;Kentucky;47567;47403;164;0,35;1990
Butler;Kentucky;11245;11207;38;0,34;1990
Caldwell;Kentucky;13232;13202;30;0,23;1990
Calloway;Kentucky;30735;30575;160;0,52;1990
Campbell;Kentucky;83866;83547;319;0,38;1990
Carlisle;Kentucky;5238;5217;21;0,40;1990
Carroll;Kentucky;9292;9270;22;0,24;1990
Carter;Kentucky;24340;24280;60;0,25;1990
Casey;Kentucky;14211;14164;47;0,33;1990
Christian;Kentucky;68941;66602;2339;3,39;1990
Clark;Kentucky;29496;29398;98;0,33;1990
Clay;Kentucky;21746;21700;46;0,21;1990
Clinton;Kentucky;9135;9098;37;0,41;1990
Crittenden;Kentucky;9196;9172;24;0,26;1990
Cumberland;Kentucky;6784;6761;23;0,34;1990
Daviess;Kentucky;87189;86877;312;0,36;1990
Edmonson;Kentucky;10357;10332;25;0,24;1990
Elliott;Kentucky;6455;6440;15;0,23;1990
Estill;Kentucky;14614;14568;46;0,32;1990
Fayette;Kentucky;225366;222810;2556;1,13;1990
Fleming;Kentucky;12292;12236;56;0,46;1990
Floyd;Kentucky;43586;43457;129;0,30;1990
Franklin;Kentucky;43781;43603;178;0,41;1990
Fulton;Kentucky;8271;8246;25;0,30;1990
Gallatin;Kentucky;5393;5385;8;0,15;1990
Garrard;Kentucky;11579;11548;31;0,27;1990
Grant;Kentucky;15737;15701;36;0,23;1990
Graves;Kentucky;33550;33457;93;0,28;1990
Grayson;Kentucky;21050;20961;89;0,42;1990
Green;Kentucky;10371;10311;60;0,58;1990
Greenup;Kentucky;36742;36666;76;0,21;1990
Hancock;Kentucky;7864;7834;30;0,38;1990
Hardin;Kentucky;89240;86734;2506;2,81;1990
Harlan;Kentucky;36574;36465;109;0,30;1990
Harrison;Kentucky;16248;16206;42;0,26;1990
Hart;Kentucky;14890;14825;65;0,44;1990
Henderson;Kentucky;43044;42878;166;0,39;1990
Henry;Kentucky;12823;12794;29;0,23;1990
Hickman;Kentucky;5566;5547;19;0,34;1990
Hopkins;Kentucky;46126;45938;188;0,41;1990
Jackson;Kentucky;11955;11924;31;0,26;1990
Jefferson;Kentucky;664937;660572;4365;0,66;1990
Jessamine;Kentucky;30508;30324;184;0,60;1990
Johnson;Kentucky;23248;23210;38;0,16;1990
Kenton;Kentucky;142031;141327;704;0,50;1990
Knott;Kentucky;17906;17872;34;0,19;1990
Knox;Kentucky;29676;29598;78;0,26;1990
Larue;Kentucky;11679;11624;55;0,47;1990
Laurel;Kentucky;43438;43272;166;0,38;1990
Lawrence;Kentucky;13998;13974;24;0,17;1990
Lee;Kentucky;7422;7412;10;0,14;1990
Leslie;Kentucky;13642;13602;40;0,29;1990
Letcher;Kentucky;27000;26936;64;0,24;1990
Lewis;Kentucky;13029;13004;25;0,19;1990
Lincoln;Kentucky;20045;20002;43;0,22;1990
Livingston;Kentucky;9062;9032;30;0,33;1990
Logan;Kentucky;24416;24337;79;0,32;1990
Lyon;Kentucky;6624;6596;28;0,42;1990
McCracken;Kentucky;62879;62555;324;0,52;1990
McCreary;Kentucky;15603;15579;24;0,15;1990
McLean;Kentucky;9628;9613;15;0,16;1990
Madison;Kentucky;57508;57317;191;0,33;1990
Magoffin;Kentucky;13077;13062;15;0,12;1990
Marion;Kentucky;16499;16457;42;0,26;1990
Marshall;Kentucky;27205;27087;118;0,43;1990
Martin;Kentucky;12526;12505;21;0,17;1990
Mason;Kentucky;16666;16590;76;0,46;1990
Meade;Kentucky;24170;23592;578;2,39;1990
Menifee;Kentucky;5092;5065;27;0,53;1990
Mercer;Kentucky;19148;19061;87;0,45;1990
Metcalfe;Kentucky;8963;8936;27;0,30;1990
