COUNTY;STATE;TP;TPNH;TPH;PPH;AP
Yuma;Arizona;195751;78839;116912;59,73;2010
Arkansas;Arkansas;19019;18506;513;2,70;2010
Ashley;Arkansas;21853;20784;1069;4,89;2010
Baxter;Arkansas;41513;40825;688;1,66;2010
Benton;Arkansas;221339;187056;34283;15,49;2010
Boone;Arkansas;36903;36229;674;1,83;2010
Bradley;Arkansas;11508;9992;1516;13,17;2010
Calhoun;Arkansas;5368;5216;152;2,83;2010
Carroll;Arkansas;27446;23957;3489;12,71;2010
Chicot;Arkansas;11800;11258;542;4,59;2010
Clark;Arkansas;22995;22069;926;4,03;2010
Clay;Arkansas;16083;15866;217;1,35;2010
Cleburne;Arkansas;25970;25453;517;1,99;2010
Cleveland;Arkansas;8689;8544;145;1,67;2010
Columbia;Arkansas;24552;24019;533;2,17;2010
Conway;Arkansas;21273;20516;757;3,56;2010
Craighead;Arkansas;96443;92166;4277;4,44;2010
Crawford;Arkansas;61948;58188;3760;6,07;2010
Crittenden;Arkansas;50902;49888;1014;1,99;2010
Cross;Arkansas;17870;17604;266;1,49;2010
Dallas;Arkansas;8116;7928;188;2,32;2010
Desha;Arkansas;13008;12430;578;4,44;2010
Drew;Arkansas;18509;18055;454;2,45;2010
Faulkner;Arkansas;113237;108802;4435;3,92;2010
Franklin;Arkansas;18125;17754;371;2,05;2010
Fulton;Arkansas;12245;12148;97;0,79;2010
Garland;Arkansas;96024;91402;4622;4,81;2010
Grant;Arkansas;17853;17461;392;2,20;2010
Greene;Arkansas;42090;41189;901;2,14;2010
Hempstead;Arkansas;22609;19896;2713;12,00;2010
Hot Spring;Arkansas;32923;32004;919;2,79;2010
Howard;Arkansas;13789;12440;1349;9,78;2010
Independence;Arkansas;36647;34508;2139;5,84;2010
Izard;Arkansas;13696;13488;208;1,52;2010
Jackson;Arkansas;17997;17561;436;2,42;2010
Jefferson;Arkansas;77435;76216;1219;1,57;2010
Johnson;Arkansas;25540;22446;3094;12,11;2010
Lafayette;Arkansas;7645;7514;131;1,71;2010
Lawrence;Arkansas;17415;17257;158;0,91;2010
Lee;Arkansas;10424;10256;168;1,61;2010
